court_id,dep_id,court_name,department_name
15050000,503,Sąd Apelacyjny w Białymstoku,I Wydział Cywilny
15050000,1006,Sąd Apelacyjny w Białymstoku,II Wydział Karny
15050000,1521,Sąd Apelacyjny w Białymstoku,III Wydział Pracy i Ubezpieczeń Społecznych
15052000,503,Sąd Okręgowy w Suwałkach,I Wydział Cywilny
15052000,1006,Sąd Okręgowy w Suwałkach,II Wydział Karny
15052000,1521,Sąd Okręgowy w Suwałkach,III Wydział Pracy i Ubezpieczeń Społecznych
15052005,503,Sąd Rejonowy w Augustowie,I Wydział Cywilny
15052005,1006,Sąd Rejonowy w Augustowie,II Wydział Karny
15052005,1512,Sąd Rejonowy w Augustowie,III Wydział Rodzinny i Nieletnich
15052005,2024,Sąd Rejonowy w Augustowie,IV Wydział Ksiąg Wieczytych
15052005,2520003,Sąd Rejonowy w Augustowie,V Zamiejscowy Wydział Cywilny z siedzibą w Sejnach
15052005,3020006,Sąd Rejonowy w Augustowie,VI Zamiejscowy Wydział Karny z siedzibą w Sejnach
15052005,3520012,Sąd Rejonowy w Augustowie,VII Zamiejscowy Wydział Rodzinny i Nieletnich z siedzibą w Sejnach
15052015,503,Sąd Rejonowy w Olecku,I Wydział Cywilny
15052015,1006,Sąd Rejonowy w Olecku,II Wydział Karny
15052015,1512,Sąd Rejonowy w Olecku,III Wydział Rodzinny i Nieletnich
15052010,503,Sąd Rejonowy w Ełku,I Wydział Cywilny
15052010,1006,Sąd Rejonowy w Ełku,II Wydział Karny
15052010,1512,Sąd Rejonowy w Ełku,III Wydział Rodzinny i Nieletnich
15052010,2015,Sąd Rejonowy w Ełku,IV Wydział Pracy
15052010,2524,Sąd Rejonowy w Ełku,V Wydział Ksiąg Wieczytych
15052020,503,Sąd Rejonowy w Suwałkach,I Wydział Cywilny
15052020,1006,Sąd Rejonowy w Suwałkach,II Wydział Karny
15052020,1512,Sąd Rejonowy w Suwałkach,III Wydział Rodzinny i Nieletnich
15052020,2021,Sąd Rejonowy w Suwałkach,IV Wydział Pracy i Ubezpieczeń Społecznych
15052020,2527,Sąd Rejonowy w Suwałkach,V Wydział Gospodarczy
15052020,3024,Sąd Rejonowy w Suwałkach,VI Wydział Ksiąg Wieczystych
15052020,3506,Sąd Rejonowy w Suwałkach,VII Wydział Karny
15051500,503,Sąd Okręgowy w Olsztynie,I Wydział Cywilny
15051500,1006,Sąd Okręgowy w Olsztynie,II Wydział Karny
15051500,1539,Sąd Okręgowy w Olsztynie,III Wydział Penitencjarny i Nadzoru nad Wykonywaniem Orzeczeń Karnych
15051500,2015,Sąd Okręgowy w Olsztynie,IV Wydział Pracy i Ubezpieczeń Społecznych
15051500,4503,Sąd Okręgowy w Olsztynie,IX Wydział Cywilny Odwoławczy
15051500,2527,Sąd Okręgowy w Olsztynie,V Wydział Gospodarczy
15051500,3009,Sąd Okręgowy w Olsztynie,VI Wydział Cywilny Rodzinny
15051500,3506,Sąd Okręgowy w Olsztynie,VII Wydział Karny Odwoławczy
15051500,4057,Sąd Okręgowy w Olsztynie,VIII Wydział Wizytacyjny
15051510,503,Sąd Rejonowy w Giżycku,I Wydział Cywilny
15051510,1006,Sąd Rejonowy w Giżycku,II Wydział Karny
15051510,1512,Sąd Rejonowy w Giżycku,III Wydział Rodzinny i Nieletnich
15051510,2015,Sąd Rejonowy w Giżycku,IV Wydział Pracy
15051510,522506,Sąd Rejonowy w Giżycku,V Zamiejscowy Wydział Karny w Węgorzewie
15051505,503,Sąd Rejonowy w Bartoszycach,I Wydział Cywilny
15051505,1006,Sąd Rejonowy w Bartoszycach,II Wydział Karny
15051505,1512,Sąd Rejonowy w Bartoszycach,III Wydział Rodzinny i Nieletnich
15051505,2015,Sąd Rejonowy w Bartoszycach,IV Wydział Pracy
15051505,2524,Sąd Rejonowy w Bartoszycach,V Wydział Ksiąg Wieczystych
15051505,523003,Sąd Rejonowy w Bartoszycach,VI Zamiejscowy Wydział Cywilny z siedzibą w Lidzbarku Warmińskim
15051505,1023506,Sąd Rejonowy w Bartoszycach,VII Zamiejscowy Wydział Karny z siedzibą w Lidzbarku Warmińskim
15051505,1524012,Sąd Rejonowy w Bartoszycach,VIII Zamiejscowy Wydział Rodzinny i Nieletnich z siedzibą w Lidzbarku Warmińskim
15051515,503,Sąd Rejonowy w Kętrzynie,I Wydział Cywilny
15051515,1006,Sąd Rejonowy w Kętrzynie,II Wydział Karny
15051515,1512,Sąd Rejonowy w Kętrzynie,III Wydział Rodzinny i Nieletnich
15051515,2021,Sąd Rejonowy w Kętrzynie,IV Wydział Pracy
15051525,503,Sąd Rejonowy w Olsztynie,I Wydział Cywilny
15051525,1006,Sąd Rejonowy w Olsztynie,II Wydział Karny
15051525,1512,Sąd Rejonowy w Olsztynie,III Wydział Rodzinny i Nieletnich
15051525,2021,Sąd Rejonowy w Olsztynie,IV Wydział Pracy i Ubezpieczeń Społecznych
15051525,4506,Sąd Rejonowy w Olsztynie,IX Wydział Karny
15051525,2527,Sąd Rejonowy w Olsztynie,V Wydział Gospodarczy
15051525,3506,Sąd Rejonowy w Olsztynie,VII Wydział Karny
15051525,4027,Sąd Rejonowy w Olsztynie,VIII Wydział Gospodarczy
15051525,5003,Sąd Rejonowy w Olsztynie,X Wydział Cywilny
15051525,525503,Sąd Rejonowy w Olsztynie,XI Zamiejscowy Wydział Cywilny
15051525,1026006,Sąd Rejonowy w Olsztynie,XII Zamiejscowy Wydział Karny
15051525,1526512,Sąd Rejonowy w Olsztynie,XIII Zamiejscowy Wydział Rodzinny i Nieletnich
15051520,503,Sąd Rejonowy w Mrągowie,I Wydział Cywilny
15051520,1006,Sąd Rejonowy w Mrągowie,II Wydział Karny
15051520,1512,Sąd Rejonowy w Mrągowie,III Wydział Rodzinny i Nieletnich
15051520,2024,Sąd Rejonowy w Mrągowie,IV Wydział Ksiąg Wieczystych
15051520,522503,Sąd Rejonowy w Mrągowie,V Zamiejscowy Wydział Cywilny
15051520,1023006,Sąd Rejonowy w Mrągowie,VI Zamiejscowy Wydział Karny
15051520,1523512,Sąd Rejonowy w Mrągowie,VII Zamiejscowy Wydział Rodzinny i Nieletnich
15051520,2024015,Sąd Rejonowy w Mrągowie,VIII Zamiejscowy Wydział Pracy
15051535,503,Sąd Rejonowy w Piszu,I Wydział Cywilny
15051535,1006,Sąd Rejonowy w Piszu,II Wydział Karny
15051535,1512,Sąd Rejonowy w Piszu,III Wydział Rodzinny i Nieletnich
15051530,503,Sąd Rejonowy w Szczytnie,I Wydział Cywilny
15051530,1006,Sąd Rejonowy w Szczytnie,II Wydział Karny
15051530,1512,Sąd Rejonowy w Szczytnie,III Wydział Rodzinny i Nieletnich
15051530,2015,Sąd Rejonowy w Szczytnie,IV Wydział Pracy
15051530,2527,Sąd Rejonowy w Szczytnie,V Wydział Gospodarczy
15051530,523003,Sąd Rejonowy w Szczytnie,VI Zamiejscowy Wydział Cywilny z siedzibą w Piszu
15051530,1023506,Sąd Rejonowy w Szczytnie,VII Zamiejscowy Wydział Karny z siedzibą w Piszu
15051530,1524012,Sąd Rejonowy w Szczytnie,VIII Zamiejscowy Wydział Rodzinny i Nieletnich z siedzibą w Piszu
15051540,503,Sąd Rejonowy w Biskupcu,I Wydział Cywilny
15051540,1006,Sąd Rejonowy w Biskupcu,II Wydział Karny
15051540,1512,Sąd Rejonowy w Biskupcu,III Wydział Rodzinny i Nieletnich
15051540,2015,Sąd Rejonowy w Biskupcu,IV Wydział Pracy
15051550,503,Sąd Rejonowy w Nidzicy,I Wydział Cywilny
15051550,1006,Sąd Rejonowy w Nidzicy,II Wydział Karny
15051550,1512,Sąd Rejonowy w Nidzicy,III Wydział Rodzinny i Nieletnich
15051545,503,Sąd Rejonowy w Lidzbarku Warmińskim,I Wydział Cywilny
15051545,1006,Sąd Rejonowy w Lidzbarku Warmińskim,II Wydział Karny
15051545,1512,Sąd Rejonowy w Lidzbarku Warmińskim,III Wydział Rodzinny i Nieletnich
15051000,503,Sąd Okręgowy w Łomży,I Wydział Cywilny
15051000,1006,Sąd Okręgowy w Łomży,II Wydział Karny
15051000,1521,Sąd Okręgowy w Łomży,III Wydział Pracy i Ubezpieczeń Społecznych
15051005,503,Sąd Rejonowy w Łomży,I Wydział Cywilny
15051005,1006,Sąd Rejonowy w Łomży,II Wydział Karny
15051005,1509,Sąd Rejonowy w Łomży,III Wydział Rodzinny
15051005,2021,Sąd Rejonowy w Łomży,IV Wydział Pracy i Ubezpieczeń Społecznych
15051005,1524506,Sąd Rejonowy w Łomży,IX Zamiejscowy Wydział Karny w Grajewie
15051005,2527,Sąd Rejonowy w Łomży,V Wydział Gospodarczy
15051005,3520006,Sąd Rejonowy w Łomży,VII Zamiejscowy Wydział Karny w Kolnie
15051005,1024003,Sąd Rejonowy w Łomży,VIII Zamiejscowy Wydział Cywilny w Grajewie
15051005,2025009,Sąd Rejonowy w Łomży,X Zamiejscowy Wydział Rodzinny w Grajewie
